epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
137,575.679,0.72849,0.45402,0.98557,0.83729,0.91789,0.9225,0.78001,0.69485,0.48547,1.00223,0.000787665,0.000787665,0.000787665
138,579.35,0.72443,0.43566,0.9959,0.883,0.91645,0.93339,0.79284,0.70708,0.4666,1.02692,0.000782949,0.000782949,0.000782949
139,583.051,0.71892,0.43753,0.99319,0.82598,0.91562,0.91104,0.7278,0.73533,0.51066,1.0333,0.000778233,0.000778233,0.000778233
140,586.739,0.74314,0.43811,1.00576,0.8394,0.90334,0.93778,0.78589,0.69685,0.51118,1.0089,0.000773518,0.000773518,0.000773518
141,590.341,0.7297,0.45686,0.99624,0.8915,0.85871,0.91516,0.78452,0.65568,0.47352,0.99513,0.000768802,0.000768802,0.000768802
142,593.981,0.74832,0.44871,0.98887,0.90752,0.90605,0.94576,0.8024,0.68318,0.47254,1.01049,0.000764086,0.000764086,0.000764086
143,597.699,0.71836,0.43305,0.98617,0.83873,0.91966,0.93003,0.79466,0.69018,0.45227,1.02572,0.000759371,0.000759371,0.000759371
144,601.461,0.73374,0.43019,0.98885,0.9085,0.85089,0.92353,0.78726,0.69654,0.50436,1.0198,0.000754655,0.000754655,0.000754655
145,605.186,0.73149,0.43137,0.99039,0.92114,0.88158,0.9422,0.7913,0.69375,0.48866,1.01122,0.000749939,0.000749939,0.000749939
146,608.965,0.74133,0.44106,0.99093,0.84524,0.93516,0.93178,0.76583,0.74261,0.51057,1.04179,0.000745223,0.000745223,0.000745223
147,612.675,0.74785,0.44102,1.00575,0.9295,0.8977,0.96102,0.81331,0.6837,0.42877,1.01541,0.000740508,0.000740508,0.000740508
148,616.36,0.70938,0.41321,0.9801,0.884,0.93878,0.94811,0.7993,0.69468,0.44666,1.01821,0.000735792,0.000735792,0.000735792
149,620.086,0.69215,0.41853,0.97932,0.84773,0.90715,0.92672,0.78715,0.70966,0.49557,1.02215,0.000731076,0.000731076,0.000731076
150,623.817,0.72522,0.41832,0.99268,0.86169,0.89756,0.93005,0.79682,0.68045,0.46933,1.0194,0.000726361,0.000726361,0.000726361
151,627.492,0.72087,0.42939,0.99257,0.90461,0.8547,0.93907,0.81082,0.68641,0.46987,1.01999,0.000721645,0.000721645,0.000721645
152,631.227,0.7311,0.44348,0.99419,0.87473,0.92941,0.94105,0.80695,0.66347,0.45566,1.00612,0.000716929,0.000716929,0.000716929
153,634.944,0.73349,0.43932,0.99771,0.91078,0.93437,0.95417,0.80156,0.69254,0.46274,1.02545,0.000712214,0.000712214,0.000712214
154,638.769,0.72622,0.4453,0.99449,0.91221,0.90823,0.93557,0.78891,0.68398,0.4644,1.0193,0.000707498,0.000707498,0.000707498
155,642.478,0.69773,0.43081,0.96765,0.92238,0.88217,0.95007,0.80508,0.67937,0.46114,1.0113,0.000702782,0.000702782,0.000702782
